Submission ID,Respondent ID,Submitted at,First Name,Last Name,Email,Gender,Gender (2),Grade,Grade (2),Major(s),Is there anything else you'd like to add?
s2000001,r2000001,2026-08-10 09:14:02,Ava,Chen,avachen@umich.edu,Female,,,,Computer Science,
s2000002,r2000002,2026-08-10 10:22:31,Noah,Patel,noahpat@umich.edu,Male,,,,Industrial Engineering,
s2000003,r2000003,2026-08-10 11:47:19,Maya,Rodriguez,mayarod@umich.edu,Female,,,,Business Administration,
s2000004,r2000004,2026-08-11 08:05:44,Liam,Okafor,liamok@umich.edu,Male,,,,Computer Science,
s2000005,r2000005,2026-08-11 12:33:07,Sofia,Nguyen,sofian@umich.edu,Female,,Sophomore,,Data Science,I heard about V1 at Festifall.
s2000006,r2000006,2026-08-11 14:19:55,Ethan,Brooks,ethanb@umich.edu,Male,,,,Mechanical Engineering,
s2000007,r2000007,2026-08-12 09:41:12,Isabella,Kim,ikim@umich.edu,,Female,,,Cognitive Science,
s2000008,r2000008,2026-08-12 10:58:36,Mason,Delgado,masondel@umich.edu,Male,,,,Economics,
s2000009,r2000009,2026-08-12 13:26:48,Priya,Raghavan,p.raghav@umich.edu,Female,,,,Computer Science,
s2000010,r2000010,2026-08-12 15:02:21,Lucas,Fontaine,lfontaine@umich.edu,Male,,,,Art & Design,
s2000011,r2000011,2026-08-13 08:37:09,Harper,Lindqvist,harperl@umich.edu,Non-Binary,,,,Information,
s2000012,r2000012,2026-08-13 09:55:44,Ava,Chen,avachen@umich.edu,Female,,,,Computer Science,Adding my minor too.
s2000013,r2000013,2026-08-13 11:14:02,Elijah,Moreau,emoreau@umich.edu,Male,,,,Aerospace Engineering,
s2000014,r2000014,2026-08-13 13:48:31,Zoe,Vasquez,zoevas@gmail.com,Female,,,,Undecided,
s2000015,r2000015,2026-08-14 09:09:17,Caleb,Mwangi,calebmw@umich.efu,Male,,,,Computer Engineering,
s2000016,r2000016,2026-08-14 10:31:52,Owen,Marsh,owenmarsh@umich.edu,Male,,,,Business Administration,
s2000017,r2000017,2026-08-14 12:05:26,Layla,Haddad,laylah@gmail.com,Female,,,,Public Health,
s2000018,r2000018,2026-08-14 14:22:40,Julian,Ferreira,jferreira@umich.edu,Male,,,Senior,Computer Science,
s2000019,r2000019,2026-08-15 08:44:13,Maya,Rodriguez,mayarod@umich.edu,Female,,,,Business Administration,
s2000020,r2000020,2026-08-15 10:12:58,Harish Anand,What,harisha@umich.edu,Male,,,,,
s2000021,r2000021,2026-08-15 11:39:25,Nina,Kowalski,nkowal@umich.edu,Female,,,,Political Science,
s2000022,r2000022,2026-08-15 13:57:41,Theo,Bergstrom,tbergstrom@umich.edu,,Male,,,Physics,
s2000023,r2000023,2026-08-16 09:20:33,Grace,Alvarez,galvarez@umich.edu,Female,,,,Nursing,
s2000024,r2000024,2026-08-16 11:06:19,Ethan,Brooks,ethanb@umich.edu,Male,,,,Mechanical Engineering,
s2000025,r2000025,2026-08-16 13:41:07,Dmitri,Volkov,dvolkov@umich.edu,Male,,,,Computer Science,
s2000026,r2000026,2026-08-17 08:15:52,Ava,Chen,avachen@umich.edu,Female,,,,Computer Science,
s2000027,r2000027,2026-08-17 10:29:38,Aisha,Bello,aishab@umich.edu,Female,,,,Biomedical Engineering,
s2000028,r2000028,2026-08-17 12:47:11,Ryan,O'Connell,ryanoc@umich.edu,Male,,,,Sport Management,
s2000029,r2000029,2026-08-17 15:03:44,Mei,Tanaka,meitanaka@umich.edu,Female,,,,Architecture,
s2000030,r2000030,2026-08-18 09:31:26,Test,Test,test@test.com,Male,,,,,
