Submission ID,Respondent ID,Submitted at,Full Name,Email,Uniqname,Grade,Gender,Major(s),Minor(s) -> if applicable,Phone number,LinkedIn,What's your hometown?,Resume,Upload a headshot of yourself!,Portfolio or personal website,Why do you want to join Product Studio?,Tell us about something you've built.,What role do you see yourself playing on a team?,How many hours per week can you commit?,Have you participated in Product Studio before?,Anything else we should know?
s4000001,r4000001,2026-08-25 09:03:22,Ava Chen,avachen@umich.edu,avachen,Sophomore,Female,Computer Science,Entrepreneurship,734-555-0142,https://linkedin.com/in/avachen,Ann Arbor MI,https://storage.tally.so/private/resume-avachen.pdf?id=aB3dE5f7&accessToken=eyJhbGciOiJIUzI1NiJ9.a1,https://storage.tally.so/private/headshot-avachen.jpg?id=kL9mN2p4&accessToken=eyJhbGciOiJIUzI1NiJ9.a2,https://avachen.dev,I want to ship something real with a team.,A habit tracker used by 40 people.,Engineer,10-15,No,
s4000002,r4000002,2026-08-25 11:48:57,Liam Okafor,liamok@umich.edu,liamok,Senior,Male,Computer Science,,313-555-0178,https://linkedin.com/in/liamokafor,Detroit MI,https://storage.tally.so/private/resume-liamok.pdf?id=qR5sT8u1&accessToken=eyJhbGciOiJIUzI1NiJ9.b1,https://storage.tally.so/private/headshot-liamok.jpg?id=vW2xY6z9&accessToken=eyJhbGciOiJIUzI1NiJ9.b2,,Product Studio is the closest thing to a real startup on campus.,An LLM tutor for intro CS.,Engineer,15-20,No,Graduating in December.
s4000003,r4000003,2026-08-25 14:22:11,Maya Rodriguez,mayarod@umich.edu,mayarod,Junior,Female,Business Administration,Computer Science,248-555-0193,https://linkedin.com/in/mayarodriguez,Novi MI,https://storage.tally.so/private/resume-mayarod.pdf?id=cD7eF1g3&accessToken=eyJhbGciOiJIUzI1NiJ9.c1,https://storage.tally.so/private/headshot-mayarod.jpg?id=hJ4kL8m2&accessToken=eyJhbGciOiJIUzI1NiJ9.c2,https://mayarod.co,I want to learn how products get made end to end.,A marketplace for used textbooks.,Product,10-15,No,
s4000004,r4000004,2026-08-26 08:57:39,Dmitri Volkov,dvolkov@umich.edu,dvolkov,Sophomore,Male,Computer Science,,734-555-0116,https://linkedin.com/in/dmitrivolkov,Chicago IL,https://storage.tally.so/private/resume-dvolkov.pdf?id=nP6qR9s5&accessToken=eyJhbGciOiJIUzI1NiJ9.d1,https://storage.tally.so/private/headshot-dvolkov.jpg?id=tU3vW7x1&accessToken=eyJhbGciOiJIUzI1NiJ9.d2,https://volkov.sh,I miss building with other people.,A scheduling bot in Go.,Engineer,20+,No,
s4000005,r4000005,2026-08-26 10:31:04,Arjun Mehta,amehta@umich.edu,amehta,Junior,Non-Binary,Computer Science,Design,616-555-0155,https://linkedin.com/in/arjunmehta,Grand Rapids MI,https://storage.tally.so/private/resume-amehta.pdf?id=yZ8aB2c6&accessToken=eyJhbGciOiJIUzI1NiJ9.e1,https://storage.tally.so/private/headshot-amehta.jpg?id=dE1fG5h9&accessToken=eyJhbGciOiJIUzI1NiJ9.e2,https://arjun.design,Design and engineering in one room.,An expense splitter for group trips.,Design,10-15,Yes,
s4000006,r4000006,2026-08-26 13:09:48,Isabella Kim,ikim@umich.edu,ikim,Junior,Female,Cognitive Science,,248-555-0121,https://linkedin.com/in/isabellakim,Troy MI,https://storage.tally.so/private/resume-ikim.pdf?id=iJ7kL3m8&accessToken=eyJhbGciOiJIUzI1NiJ9.f1,https://storage.tally.so/private/headshot-ikim.jpg?id=nO2pQ6r4&accessToken=eyJhbGciOiJIUzI1NiJ9.f2,,I want to work on something people actually use.,A note-taking app for lectures.,Product,10-15,No,
s4000007,r4000007,2026-08-27 09:44:26,Ethan Brooks,ethanb@umich.edu,ethanb,Graduate,Male,Mechanical Engineering,,734-555-0187,https://linkedin.com/in/ethanbrooks,Ann Arbor MI,https://storage.tally.so/private/resume-ethanb.pdf?id=sT9uV4w7&accessToken=eyJhbGciOiJIUzI1NiJ9.g1,https://storage.tally.so/private/headshot-ethanb.jpg?id=xY5zA1b3&accessToken=eyJhbGciOiJIUzI1NiJ9.g2,,Hardware startups need software people and vice versa.,A CAD plugin that batches exports.,Engineer,10-15,No,
s4000008,r4000008,2026-08-27 12:16:53,Sofia Nguyen,sofian@umich.edu,sofian,Sophomore,Female,Data Science,Statistics,517-555-0134,https://linkedin.com/in/sofianguyen,Lansing MI,https://storage.tally.so/private/resume-sofian.pdf?id=cD8eF2g6&accessToken=eyJhbGciOiJIUzI1NiJ9.h1,https://storage.tally.so/private/headshot-sofian.jpg?id=hI3jK7l1&accessToken=eyJhbGciOiJIUzI1NiJ9.h2,,I want a project that outlives the semester.,A dashboard for club attendance.,Data,10-15,No,
s4000009,r4000009,2026-08-27 15:38:17,Kofi Mensah,kmensah@umich.edu,kmensah,Freshman,Male,Computer Engineering,,734-555-0169,https://linkedin.com/in/kofimensah,Accra Ghana,https://storage.tally.so/private/resume-kmensah.pdf?id=mN4oP8q2&accessToken=eyJhbGciOiJIUzI1NiJ9.i1,https://storage.tally.so/private/headshot-kmensah.jpg?id=rS9tU5v3&accessToken=eyJhbGciOiJIUzI1NiJ9.i2,,First year and I want to start building now.,A Discord bot for my high school.,Engineer,5-10,No,
s4000010,r4000010,2026-08-28 10:05:41,Elena Petrova,epetrova@umich.edu,epetrova,Other,Rather not say,Information,,734-555-0102,https://linkedin.com/in/elenapetrova,Ypsilanti MI,https://storage.tally.so/private/resume-epetrova.pdf?id=wX6yZ1a5&accessToken=eyJhbGciOiJIUzI1NiJ9.j1,https://storage.tally.so/private/headshot-epetrova.jpg?id=bC7dE3f9&accessToken=eyJhbGciOiJIUzI1NiJ9.j2,https://petrova.works,I am changing careers and want reps.,A CRM for a nonprofit I volunteer at.,Product,15-20,No,
